game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2024_04_BUF_BAL,202409290rav,2024,4,REG,BUF,BAL,Ty Johnson,JohnTy02,1,3,3,0,0,0,
2024_04_BUF_BAL,202409290rav,2024,4,REG,BUF,BAL,Curtis Samuel,SamuCu00,1,3,3,4,4,0,
2024_04_TEN_MIA,202409300mia,2024,4,REG,MIA,TEN,De'Von Achane,AchaDe00,10,4,0.4,11,1.1,0,
2024_04_TEN_MIA,202409300mia,2024,4,REG,MIA,TEN,Jaylen Wright,WrigJa04,9,19,2.1,13,1.4,2,
2024_04_TEN_MIA,202409300mia,2024,4,REG,MIA,TEN,Tyler Huntley,HuntTy01,8,34,4.3,6,0.8,0,
2024_04_TEN_MIA,202409300mia,2024,4,REG,MIA,TEN,Tyreek Hill,HillTy00,3,19,6.3,0,0,0,
2024_04_TEN_MIA,202409300mia,2024,4,REG,TEN,MIA,Tony Pollard,PollTo00,22,54,2.5,34,1.5,3,
2024_04_TEN_MIA,202409300mia,2024,4,REG,TEN,MIA,Tyjae Spears,SpeaTy00,15,10,0.7,29,1.9,3,
2024_04_TEN_MIA,202409300mia,2024,4,REG,TEN,MIA,Will Levis,LeviWi00,2,1,0.5,4,2,0,
2024_04_TEN_MIA,202409300mia,2024,4,REG,TEN,MIA,Calvin Ridley,RidlCa00,1,5,5,5,5,0,
2024_04_SEA_DET,202409300det,2024,4,REG,DET,SEA,Jahmyr Gibbs,GibbJa01,14,56,4,22,1.6,0,
2024_04_SEA_DET,202409300det,2024,4,REG,DET,SEA,David Montgomery,MontDa01,12,25,2.1,15,1.3,1,
2024_04_SEA_DET,202409300det,2024,4,REG,DET,SEA,Jared Goff,GoffJa00,2,-2,-1,0,0,0,
2024_04_SEA_DET,202409300det,2024,4,REG,SEA,DET,Kenneth Walker III,WalkKe00,12,30,2.5,50,4.2,1,
2024_04_SEA_DET,202409300det,2024,4,REG,SEA,DET,Geno Smith,SmitGe00,5,34,6.8,4,0.8,0,
2024_04_SEA_DET,202409300det,2024,4,REG,SEA,DET,Zach Charbonnet,CharZa00,2,6,3,9,4.5,0,
2024_05_TB_ATL,202410030atl,2024,5,REG,ATL,TB,Bijan Robinson,RobiBi01,12,20,1.7,41,3.4,1,
2024_05_TB_ATL,202410030atl,2024,5,REG,ATL,TB,Tyler Allgeier,AllgTy00,6,7,1.2,5,0.8,0,
2024_05_TB_ATL,202410030atl,2024,5,REG,TB,ATL,Rachaad White,WhitRa01,10,16,1.6,56,5.6,0,
2024_05_TB_ATL,202410030atl,2024,5,REG,TB,ATL,Bucky Irving,IrviBu00,9,26,2.9,18,2,0,
2024_05_TB_ATL,202410030atl,2024,5,REG,TB,ATL,Baker Mayfield,MayfBa00,6,41,6.8,1,0.2,0,
2024_05_TB_ATL,202410030atl,2024,5,REG,TB,ATL,Chris Godwin,GodwCh00,1,1,1,1,1,0,
